nrc,sigla,seccion,nombre,profesor,horario,escuela,semestre
28696,CCL2422,4,Tecnología de los Materiales,Molina Paulo,"M:6 CLAS E13 J:5,6 CLAS E13",Construcción Civil,2026-1
28698,CCL2431,1,Construcción Circular,Ossio Felipe,"J:2,3,4 CLAS E10",Construcción Civil,2026-1
28699,CCL2431,2,Construcción Circular,Hernandez Hector,"J:2,3,4 CLAS AL4",Construcción Civil,2026-1
28701,CCL2432,1,Tecnología del Hormigón,"Silva Yimmy, Di Mambro David","L:5,6 LAB LD_DECON_1 M:5,6 CLAS C201 W:6 CLAS CS303",Construcción Civil,2026-1
28702,CCL2432,2,Tecnología del Hormigón,"Silva Yimmy, Di Mambro David","L:5,6 LAB LD_DECON_1 M:5,6 CLAS C201 W:6 CLAS CS303",Construcción Civil,2026-1
28703,CCL2432,3,Tecnología del Hormigón,"Silva Yimmy, Guzmán Camilo","L:5,6 CLAS E13 M:5,6 LAB LD_DECON_1 W:5 CLAS B23",Construcción Civil,2026-1
28704,CCL2432,4,Tecnología del Hormigón,"Silva Yimmy, Guzmán Camilo","L:5,6 CLAS E13 M:5,6 LAB LD_DECON_1 W:5 CLAS B23",Construcción Civil,2026-1
28705,CCL2432,5,Tecnología del Hormigón,"Silva Yimmy, Guzmán Camilo","L:5,6 CLAS E13 W:5 CLAS B23 J:5,6 LAB LD_DECON_1",Construcción Civil,2026-1
31141,CCL2432,6,Tecnología del Hormigón,"Silva Yimmy, Guzmán Camilo","L:5,6 CLAS AP005 W:5 CLAS B23 J:5,6 LAB LD_DECON_1",Construcción Civil,2026-1
32055,CCL2432,7,Tecnología del Hormigón,"Silva Yimmy, Di Mambro David","M:5,6 CLAS C201 W:6 CLAS CS303 V:5,6 LAB E17",Construcción Civil,2026-1
32202,CCL2432,8,Tecnología del Hormigón,Silva Yimmy,"M:5,6 CLAS C201 W:6 CLAS CS303",Construcción Civil,2026-1
28708,CCL2433,1,Análisis de Datos Aplicado a la Construcción,Bravo Monica,"L:1 LAB CC10 W:1 CLAS E15 V:1,2 CLAS E12",Construcción Civil,2026-1
28709,CCL2433,2,Análisis de Datos Aplicado a la Construcción,Aravena Ricardo,"L:1 LAB CC200 W:1 CLAS C203 V:1,2 CLAS AL4",Construcción Civil,2026-1
34105,CCL2433,3,Análisis de Datos Aplicado a la Construcción,Guevara Ingrid,"L:1 TAL C100 W:1 CLAS C204 V:1,2 CLAS C204",Construcción Civil,2026-1
28487,CCL2434,1,Investigación de Operaciones,Lemus José,"M:3,4 CLAS CC200",Construcción Civil,2026-1
28494,CCL2434,2,Investigación de Operaciones,Lemus José,"V:5,6 CLAS CC200",Construcción Civil,2026-1
28495,CCL2435,1,Fundamentos de Seguridad en la Construcción,Olmos Rafael,"M:1,2 CLAS E13",Construcción Civil,2026-1
28496,CCL2435,2,Fundamentos de Seguridad en la Construcción,Herrera Rafael,"M:1,2 CLAS E12",Construcción Civil,2026-1
29348,CCL2441,1,Topografía,"Garrido Washington, González Camilo","M:1 CLAS E11 J:1,2 CLAS E13 V:1,2 TAL C100",Construcción Civil,2026-1
29349,CCL2441,2,Topografía,"Unda Luis, González Camilo","M:1 CLAS C302 J:1,2 CLAS E15 V:5,6 TAL C100",Construcción Civil,2026-1
29350,CCL2441,3,Topografía,"Unda Luis, González Camilo","M:1 CLAS C302 J:1,2 CLAS E15 V:5,6 TAL C100",Construcción Civil,2026-1
30559,CCL2441,4,Topografía,Garrido Washington,"M:1 CLAS E11 J:1,2 CLAS E13",Construcción Civil,2026-1
34064,CCL2441,5,Topografía,"Unda Luis, González Camilo","M:1 CLAS C302 J:1,2 CLAS E15 V:1,2 TAL C100",Construcción Civil,2026-1
29351,CCL2442,1,Fundamentos del Análisis Estructural,Maturana Pablo,"M:3,4 CLAS C003 J:3 CLAS C202 J:4 AYU C510",Construcción Civil,2026-1
32056,CCL2442,2,Fundamentos del Análisis Estructural,Maturana Pablo,"M:3,4 CLAS C003 J:3 CLAS C202 J:4 AYU E15",Construcción Civil,2026-1
29352,CCL2443,1,Hidráulica General,Ardiles Maxs,"L:1,2 CLAS E17",Construcción Civil,2026-1
32190,CCL2443,2,Hidráulica General,Ardiles Maxs,"J:5,6 CLAS C504",Construcción Civil,2026-1
29421,CCL2451,1,Fundamentos de Geotecnia,"Sanhueza Carola, López Moisés","L:3,4 CLAS E12 W:1,2 LAB LD_DECON_2 W:4 AYU E13",Construcción Civil,2026-1
29423,CCL2451,2,Fundamentos de Geotecnia,"Sanhueza Carola, López Moisés","L:3,4 CLAS E12 W:1,2 LAB LD_DECON_2 W:4 AYU E13",Construcción Civil,2026-1
29424,CCL2451,3,Fundamentos de Geotecnia,"Sanhueza Carola, López Moisés","L:1,2 LAB LD_DECON_2 W:3,4 CLAS E15 V:4 AYU E15",Construcción Civil,2026-1
29425,CCL2451,4,Fundamentos de Geotecnia,"Sanhueza Carola, López Moisés","L:1,2 LAB LD_DECON_2 W:3,4 CLAS E15 V:4 AYU E15",Construcción Civil,2026-1
29426,CCL2451,5,Fundamentos de Geotecnia,Sanhueza Carola,"L:3,4 CLAS E12 W:4 AYU E13",Construcción Civil,2026-1
31170,CCL2451,6,Fundamentos de Geotecnia,Sanhueza Carola,"W:3,4 CLAS E15 V:4 AYU E15",Construcción Civil,2026-1
29356,CCL2452,1,Comportamiento Estructural,Narváez Cristian,"M:5,6 CLAS E12 J:5 CLAS AUD_J J:6 AYU E17",Construcción Civil,2026-1
29357,CCL2452,2,Comportamiento Estructural,Narváez Cristian,"M:3 CLAS E14 M:4 AYU E14 J:3,4 CLAS E12",Construcción Civil,2026-1
32642,CCL2452,3,Comportamiento Estructural,Narváez Cristian,"M:5,6 CLAS E12 J:5 CLAS AUD_J J:6 AYU SEM_6_P4",Construcción Civil,2026-1
31129,CCL2461,1,Geotecnia Aplicada,Sanhueza Carola,"V:3,4 CLAS E12",Construcción Civil,2026-1
31130,CCL2462,1,"Estructura, Materialidad y Procesos Constructivos","Maturana Pablo, Letelier Julio, Madariaga Cristian","M:5,6 CLAS E14 J:5,6 TAL E14",Construcción Civil,2026-1
31132,CCL2463,1,Fundamentos del Análisis Financiero y Contable,Urrutia Jonathan,"W:5,6 CLAS E12",Construcción Civil,2026-1
31174,CCL2464,1,Instalaciones de Gas y Electricidad,"Rebolledo Cristobal, Gallegos Joel","M:1,2 CLAS C501 J:1,2 TAL E17",Construcción Civil,2026-1
31177,CCL2464,2,Instalaciones de Gas y Electricidad,"Rebolledo Cristobal, Gallegos Joel","M:1,2 CLAS E16 J:1,2 TAL K302",Construcción Civil,2026-1
31178,CCL2471,1,Gestión de Proyectos,Mesa Harrison,"M:3,4 CLAS E12 J:4 CLAS E14",Construcción Civil,2026-1
32191,CCL2471,2,Gestión de Proyectos,Ortega Jesus,"M:7,8 CLAS E14 J:7 CLAS E12",Construcción Civil,2026-1
31179,CCL2472,1,Terminaciones y Componentes en Edificación,Ravanal Efren,"M:1,2 CLAS E15",Construcción Civil,2026-1
32192,CCL2472,2,Terminaciones y Componentes en Edificación,Ravanal Efren,"J:1,2 CLAS E12",Construcción Civil,2026-1
31181,CCL2473,1,"Programación, Optimización y Control de Proyectos","Gimenez Zulay, Hernandez Hector","L:3,4 CLAS E14 W:3,4 TAL CC200",Construcción Civil,2026-1
32193,CCL2473,2,"Programación, Optimización y Control de Proyectos","Gimenez Zulay, Hernandez Hector","W:5,6 CLAS C204 V:5,6 TAL CC10",Construcción Civil,2026-1
31182,CCL2475,1,Instalaciones Sanitarias y de Climatización,"Hernandez Victor, Astorga Leandro","L:1,2 CLAS E12 W:1,2 TAL E12",Construcción Civil,2026-1
31183,CCL2475,2,Instalaciones Sanitarias y de Climatización,"Hernandez Victor, Astorga Leandro","L:1,2 CLAS E16 W:1,2 TAL E17",Construcción Civil,2026-1
32194,CCL2481,1,Administración de Obras,"Aburto Adolfo, Carrera Néstor, Madariaga Cristian","L:7,8 CLAS E12 W:7,8 TAL CC10",Construcción Civil,2026-1
32195,CCL2482,1,Sistemas para Obras de Infraestructura,Rueda Eduardo,"L:5,6 CLAS E16 W:5 CLAS E15",Construcción Civil,2026-1
32196,CCL2483,1,Habitabilidad y Sostenibilidad Energética,Meza Leonardo,"M:5,6 CLAS E11 J:5 CLAS E12",Construcción Civil,2026-1
32197,CCL2483,2,Habitabilidad y Sostenibilidad Energética,Meza Leonardo,"M:5,6 CLAS E11 J:5 CLAS E12",Construcción Civil,2026-1
32198,CCL2484,1,Transformación Digital en la Industria de la Construcción,"Linares Daniel, Castillo Eduardo","M:3,4 CLAS E17 J:3,4 TAL CC200",Construcción Civil,2026-1
32199,CCL2491,1,Taller de Desafíos en Construcción,"Calvetti Diego, Fresno Enrique","M-J:5,6 TAL AUD_DECON",Construcción Civil,2026-1
32200,CCL2492,1,Evaluación de Proyectos,Vidal Felipe,"M:3,4 CLAS E16 J:4 CLAS E17",Construcción Civil,2026-1
32201,CCL2492,2,Evaluación de Proyectos,Palominos Paola,"M:3,4 CLAS C202 J:4 CLAS C204",Construcción Civil,2026-1
31615,CCO3321,1,Construcción en Emergencia,Yañez Freddy,"M:5,6 CLAS AE103",Construcción Civil,2026-1
26307,CCO3807,1,Liderazgo Efectivo y Sostenibilidad Empresarial,"Frederick Pablo, Ramos Rodrigo","L:8,9 CLAS SIN SALA",Construcción Civil,2026-1
33876,CCO3808,1,Tecnologias de la Informacion para la Toma de Decisiones en Construccion,Vidal Felipe,"W:8,9 CLAS SIN SALA",Construcción Civil,2026-1
31201,CCO3819,1,Fisica de la Construccion,Meza Leonardo,"M:1,2 CLAS C300",Construcción Civil,2026-1
34088,CCO3825,1,Tecnologias Especiales en Pavimentos,Rueda Eduardo,"M:8,9 CLAS SIN SALA",Construcción Civil,2026-1
13850,CCO3827,1,Acustica en la Edificacion,"Meza Leonardo, Delannoy Jaime","M:8,9 CLAS SIN SALA",Construcción Civil,2026-1
22561,CCO3829,1,Gestión de Riesgos de Seguridad y Salud en el Trabajo,Olmos Rafael,"V:1,2 CLAS E16",Construcción Civil,2026-1
17460,CCO3834,1,Actividad Integradora de Graduación,Fuentes Mikel,: SUP SIN SALA,Construcción Civil,2026-1
16539,CCO3835,1,Construcción de Infraestructura Vial: Puentes y Túneles,"Marquez Marcelo, Por Fijar","W:8,9 CLAS SIN SALA",Construcción Civil,2026-1
22562,CCO3839,1,Industria Inmobiliaria,"Salgado Andres, Barahona Alberto, Bayard Víctor","J:8,9 CLAS SIN SALA",Construcción Civil,2026-1
21226,CCO3840,1,Lean Project Delivery en Proyectos de Construcción,Mesa Harrison,"M:8,9 CLAS SIN SALA",Construcción Civil,2026-1
33881,CCO3841,1,Bim para la Construcción,Linares Daniel,"J:8,9 CLAS SIN SALA",Construcción Civil,2026-1
33882,CCO3841,2,Bim para la Construcción,Linares Daniel,"V:3,4 CLAS C100",Construcción Civil,2026-1
26174,CCO3842,1,Innovación e Industrialización en la Construcción,"Fuentes Mikel, Hernandez Hector","L:8,9 CLAS SIN SALA",Construcción Civil,2026-1
31203,CCO3852,1,Gestión de Calidad en Proyectos de Construcción,Maturana Pablo,"W:8,9 CLAS SIN SALA",Construcción Civil,2026-1
31204,CCO3854,1,Métodos para la Generación de Valor en Proyectos de Construcción,Gimenez Zulay,"L:8,9 CLAS SIN SALA",Construcción Civil,2026-1
13856,CCO3901,1,Desarrollo Sustentable,Behar Nicolás,"L:8,9 CLAS SIN SALA",Construcción Civil,2026-1
34089,CCO3903,1,Formas Resistentes en Madera,Rodriguez Gonzalo,"J:8,9 CLAS C300",Construcción Civil,2026-1
26053,DPT5000,1,Acondicionamiento Fisico Con Pesas I,Montoya David,L-W-V:2 CLAS S-PESAS,Deportes,2026-1
12245,DPT5000,2,Acondicionamiento Fisico Con Pesas I,Castro Paulo,L-W-V:5 CLAS S-PESAS,Deportes,2026-1
12232,DPT5000,3,Acondicionamiento Fisico Con Pesas I,Montoya David,L-W-V:1 CLAS S-PESAS,Deportes,2026-1
12220,DPT5000,4,Acondicionamiento Fisico Con Pesas I,Castro Paulo,L-W-V:4 CLAS S-PESAS,Deportes,2026-1
12238,DPT5000,5,Acondicionamiento Fisico Con Pesas I,Avalos Jorge,L-M:6 CLAS S-PESAS J:5 CLAS S-PESAS,Deportes,2026-1
19139,DPT5000,6,Acondicionamiento Fisico Con Pesas I,Montoya David,L-W-V:3 CLAS S-PESAS,Deportes,2026-1
24843,DPT5000,7,Acondicionamiento Fisico Con Pesas I,Lopez Eduardo,"M:2,3 CLAS S-PESAS J:3 CLAS S-PESAS",Deportes,2026-1
24844,DPT5000,8,Acondicionamiento Fisico Con Pesas I,Lopez Eduardo,M-J:4 CLAS S-PESAS V:3 CLAS S-PESAS,Deportes,2026-1
26097,DPT5000,9,Acondicionamiento Fisico Con Pesas I,Lopez Eduardo,M-J-V:1 CLAS S-PESAS,Deportes,2026-1
27737,DPT5000,10,Acondicionamiento Fisico Con Pesas I,Horta Nicolas,L-W-V:4 CLAS AREA VERDE,Deportes,2026-1
31993,DPT5000,11,Acondicionamiento Fisico Con Pesas I,Avalos Jorge,L-W:5 CLAS S-PESAS J:6 CLAS S-PESAS,Deportes,2026-1
31994,DPT5000,12,Acondicionamiento Fisico Con Pesas I,Avalos Jorge,M-V:5 CLAS S-PESAS W:6 CLAS S-PESAS,Deportes,2026-1
19823,DPT5050,1,Entrenamiento Pesas Libres Halterofilia I,Castro Paulo,L-W-V:2 CLAS MULTICANCH,Deportes,2026-1
19826,DPT5050,2,Entrenamiento Pesas Libres Halterofilia I,Castro Paulo,L-W-V:3 CLAS MULTICANCH,Deportes,2026-1
12264,DPT5100,1,Atletismo I,San Jose Gerardo,L-W-V:1 CLAS P-ATLETICA,Deportes,2026-1
12257,DPT5100,2,Atletismo I,San Jose Gerardo,L-W-V:2 CLAS P-ATLETICA,Deportes,2026-1
16207,DPT5100,3,Atletismo I,San Jose Gerardo,L-W-V:3 CLAS P-ATLETICA,Deportes,2026-1
20201,DPT5200,1,Basquetbol I,Luvizetto Juan,L-M-J:3 CLAS GIMNASIO B,Deportes,2026-1
26105,DPT5205,1,Básquetbol Mujeres I,Luvizetto Juan,L-M-J:1 CLAS GIMNASIO B,Deportes,2026-1
24947,DPT5206,1,Básquetbol Hombres I,Luvizetto Juan,L-M-J:4 CLAS GIMNASIO B,Deportes,2026-1
26104,DPT5251,1,Básquetbol II,Luvizetto Juan,L-M-J:2 CLAS GIMNASIO B,Deportes,2026-1
26106,DPT5453,1,Fútbol I,Valenzuela Walter,L-W-V:4 CLAS GIMNASIO B,Deportes,2026-1
26107,DPT5453,2,Fútbol I,Pozo Fernando,M:1 CLAS C-FUTBOL W-V:3 CLAS C-FUTBOL,Deportes,2026-1
26109,DPT5453,4,Fútbol I,Pozo Fernando,L-M-J:2 CLAS C-FUTBOL,Deportes,2026-1
26110,DPT5453,5,Fútbol I,Pozo Fernando,L-M-J:3 CLAS C-FUTBOL,Deportes,2026-1
24949,DPT5454,1,Fútbol Mujeres I,Acevedo Sebastian,L-W-V:3 CLAS C-FUTBOL,Deportes,2026-1
30876,DPT5454,2,Fútbol Mujeres I,Acevedo Sebastian,L-W-V:4 CLAS C-FUTBOL,Deportes,2026-1
31125,DPT5454,3,Fútbol Mujeres I,Acevedo Sebastian,L-W-V:2 CLAS C-FUTBOL,Deportes,2026-1
27739,DPT5456,1,Fútbol II,Pellicer Pablo,M-W-J:5 CLAS C-FUTBOL,Deportes,2026-1
12410,DPT5502,1,Preparación Física y Recreación I,Gomez Edmundo,L-W-V:3 CLAS AREA VERDE,Deportes,2026-1
12452,DPT5502,2,Preparación Física y Recreación I,Gomez Edmundo,L-W-V:4 CLAS AREA VERDE,Deportes,2026-1
12417,DPT5502,3,Preparación Física y Recreación I,Lopez Eduardo,L-W-V:4 CLAS AREA VERDE,Deportes,2026-1
12465,DPT5502,5,Preparación Física y Recreación I,Acevedo Sebastian,L-W-V:6 CLAS AREA VERDE,Deportes,2026-1
12431,DPT5502,6,Preparación Física y Recreación I,Montoya David,L-M-J:4 CLAS AREA VERDE,Deportes,2026-1
12424,DPT5502,7,Preparación Física y Recreación I,Miranda Hugo,L-W-V:1 CLAS AREA VERDE,Deportes,2026-1
12445,DPT5502,8,Preparación Física y Recreación I,Gomez Edmundo,L-W-V:1 CLAS AREA VERDE,Deportes,2026-1
12438,DPT5502,9,Preparación Física y Recreación I,Horta Nicolas,L-W-V:3 CLAS AREA VERDE,Deportes,2026-1
16253,DPT5502,13,Preparación Física y Recreación I,Miranda Hugo,L:4 CLAS AREA VERDE M-J:3 CLAS AREA VERDE,Deportes,2026-1
20065,DPT5502,15,Preparación Física y Recreación I,Acevedo Sebastian,L-W-V:5 CLAS AREA VERDE,Deportes,2026-1
25039,DPT5705,1,Gimnasia Aeróbica I,Vargas Ana,M-J:3 CLAS CORPORAL2 V:1 CLAS CORPORAL2,Deportes,2026-1
25042,DPT5705,3,Gimnasia Aeróbica I,Vargas Ana,L-W:3 CLAS CORPORAL1 V:2 CLAS CORPORAL1,Deportes,2026-1
25060,DPT5755,1,Gimnasia Aeróbica Step I,Vargas Ana,L-W:4 CLAS CORPORAL1 V:3 CLAS CORPORAL1,Deportes,2026-1
25062,DPT5755,2,Gimnasia Aeróbica Step I,Vargas Ana,M-J:4 CLAS CORPORAL1 S:2 CLAS CORPORAL1,Deportes,2026-1
28889,DPT5756,1,Gimnasia Aeróbica Step A+S,Vargas Ana,M-W-J:6 CLAS CORPORAL1,Deportes,2026-1
26120,DPT5806,1,Balonmano Mujeres I,Valdebenito Francisco,L-M-J:2 CLAS MULTICANCH,Deportes,2026-1
27847,DPT5806,2,Balonmano Mujeres I,Valdebenito Francisco,L-M-J:3 CLAS MULTICANCH,Deportes,2026-1
26118,DPT5807,1,Balonmano Hombres I,Valdebenito Francisco,L-M-J:1 CLAS MULTICANCH,Deportes,2026-1
27848,DPT5807,2,Balonmano Hombres I,Valdebenito Francisco,L-M-J:4 CLAS MULTICANCH,Deportes,2026-1
25032,DPT5901,1,Gimnasia Artistíca I,Cubillos Felipe,L-W-V:1 CLAS GIMNASIO B,Deportes,2026-1
26121,DPT5901,2,Gimnasia Artistíca I,Cubillos Felipe,L-W-V:2 CLAS GIMNASIO B,Deportes,2026-1
12568,DPT6000,1,Judo I,Parra Luis,W-V:2 CLAS DOJO J:4 CLAS DOJO,Deportes,2026-1
12560,DPT6000,2,Judo I,Parra Luis,M-W-V:4 CLAS DOJO,Deportes,2026-1
12553,DPT6000,3,Judo I,Parra Luis,M-V:6 CLAS DOJO W:5 CLAS DOJO,Deportes,2026-1
26122,DPT6051,1,Judo II,Parra Luis,L-W-J:6 CLAS DOJO,Deportes,2026-1
12581,DPT6100,1,Judo Defensa Personal,Parra Luis,W-J-V:3 CLAS DOJO,Deportes,2026-1
12586,DPT6100,2,Judo Defensa Personal,Parra Luis,M-J-V:5 CLAS DOJO,Deportes,2026-1
21944,DPT6150,1,Karate I,Chirino Ramiro,L-M:6 CLAS GIMNASIO B J:1 CLAS GIMNASIO B,Deportes,2026-1
29680,DPT6150,2,Karate I,Chirino Ramiro,L:7 CLAS GIMNASIO B W:1 CLAS GIMNASIO B V:6 CLAS GIMNASIO B,Deportes,2026-1
19820,DPT6270,1,Escalada Deportiva Nivel I,Serey Felipe,L-W-V:3 CLAS BOULDER,Deportes,2026-1
29609,DPT6270,2,Escalada Deportiva Nivel I,Serey Felipe,L-W-V:4 CLAS BOULDER,Deportes,2026-1
31124,DPT6270,3,Escalada Deportiva Nivel I,Serey Felipe,L-W-V:2 CLAS BOULDER,Deportes,2026-1
17732,DPT6300,1,Natación I,Vecilla Dayenu,L-W-V:4 CLAS PISCINA,Deportes,2026-1
27745,DPT6300,2,Natación I,Terreros Luz,L-W-V:5 CLAS PISCINA,Deportes,2026-1
26124,DPT6300,3,Natación I,Terreros Luz,M-J-S:3 CLAS PISCINA,Deportes,2026-1
17735,DPT6300,4,Natación I,Toledo Claudio,L-W-V:4 CLAS PISCINA,Deportes,2026-1
17736,DPT6300,5,Natación I,Vecilla Dayenu,L-W-V:2 CLAS PISCINA,Deportes,2026-1
28895,DPT6300,6,Natación I,Terreros Luz,M-J-S:2 CLAS PISCINA,Deportes,2026-1
17739,DPT6300,8,Natación I,Toledo Claudio,L-W-V:3 CLAS PISCINA,Deportes,2026-1
17740,DPT6300,9,Natación I,Terreros Luz,M-J:5 CLAS PISCINA V:6 CLAS PISCINA,Deportes,2026-1
27514,DPT6302,1,Natación II,Vecilla Dayenu,L-W-V:3 CLAS PISCINA,Deportes,2026-1
27515,DPT6302,2,Natación II,Toledo Claudio,L-W-V:2 CLAS PISCINA,Deportes,2026-1
30874,DPT6302,3,Natación II,Terreros Luz,L-W-V:1 CLAS PISCINA,Deportes,2026-1
33346,DPT6302,4,Natación II,Terreros Luz,M-J-S:1 CLAS PISCINA,Deportes,2026-1
26128,DPT6381,3,Fútbol Sala I,Pozo Fernando,L-V:4 CLAS GIMNASIO A J:1 CLAS GIMNASIO A,Deportes,2026-1
26129,DPT6381,4,Fútbol Sala I,Pozo Fernando,M-W-J:4 CLAS GIMNASIO A,Deportes,2026-1
26131,DPT6381,6,Fútbol Sala I,Guerra Jorge,M-J-V:5 CLAS GIMNASIO A,Deportes,2026-1
31302,DPT6382,1,Fútbol Sala Mujeres I,Pozo Fernando,L:1 CLAS GIMNASIO A W-V:2 CLAS GIMNASIO A,Deportes,2026-1
26161,DPT6400,1,Rugby I,Barra Daniel,M-J-V:3 CLAS C- RUGBY,Deportes,2026-1
26162,DPT6400,2,Rugby I,Gomez Edmundo,L-W-V:2 CLAS C- RUGBY,Deportes,2026-1
26392,DPT6400,3,Rugby I,Barra Daniel,M-J-V:4 CLAS C- RUGBY,Deportes,2026-1
12745,DPT6500,1,Tenis I,Soar Iván,L-W-V:1 CLAS C_TENIS_DU,Deportes,2026-1
26135,DPT6500,2,Tenis I,Miranda Hugo,M-J-V:4 CLAS C_TENIS_DU,Deportes,2026-1
26136,DPT6500,3,Tenis I,Soar Iván,L-W-V:3 CLAS C_TENIS_DU,Deportes,2026-1
12703,DPT6500,4,Tenis I,Soar Iván,L:4 CLAS C_TENIS_DU M-J:6 CLAS C_TENIS_DU,Deportes,2026-1
26137,DPT6500,5,Tenis I,Miranda Hugo,M-J:2 CLAS C_TENIS_DU W:5 CLAS C_TENIS_DU,Deportes,2026-1
12708,DPT6500,6,Tenis I,Soar Iván,L-M-J:5 CLAS C_TENIS_DU,Deportes,2026-1
27750,DPT6500,7,Tenis I,Miranda Hugo,L-W-V:2 CLAS C_TENIS_DU,Deportes,2026-1
26138,DPT6555,1,Tenis II,Soar Iván,L-W-V:2 CLAS C_TENIS_DU,Deportes,2026-1
27754,DPT6555,2,Tenis II,Miranda Hugo,L-W-V:3 CLAS C_TENIS_DU,Deportes,2026-1
12774,DPT6560,1,Tenis de Mesa I,Fredes Rafael,L-W-V:5 CLAS GIMNASIO B,Deportes,2026-1
17776,DPT6700,1,Voleibol I,Osorio Patricio,L-W-V:1 CLAS GIMNASIO B,Deportes,2026-1
20202,DPT6700,2,Voleibol I,Osorio Patricio,L-W-V:2 CLAS GIMNASIO B,Deportes,2026-1
25033,DPT6700,3,Voleibol I,Salinas José,L-W-V:3 CLAS GIMNASIO B,Deportes,2026-1
26145,DPT6700,4,Voleibol I,Salinas José,L-W:6 CLAS GIMNASIO B V:5 CLAS GIMNASIO B,Deportes,2026-1
31310,DPT6755,1,Voleibol II,Salinas José,L-W:5 CLAS GIMNASIO B V:4 CLAS GIMNASIO B,Deportes,2026-1
21843,DPT6760,1,Vóleibol Playa I,Osorio Patricio,L-W-V:5 CLAS VB. PLAYA,Deportes,2026-1
21906,DPT6760,2,Vóleibol Playa I,Osorio Patricio,L-W-V:6 CLAS VB. PLAYA,Deportes,2026-1
27755,DPT6760,3,Vóleibol Playa I,Osorio Patricio,L-W-V:3 CLAS VB. PLAYA,Deportes,2026-1
27756,DPT6760,4,Vóleibol Playa I,Salinas José,L-W-V:2 CLAS VB. PLAYA,Deportes,2026-1
26144,DPT6805,1,Hockey Césped I,Barra Daniel,M-J-V:1 CLAS C-SINTETIC,Deportes,2026-1
25035,DPT6805,2,Hockey Césped I,Barra Daniel,M-J-V:2 CLAS C-SINTETIC,Deportes,2026-1
12817,DPT6900,1,Ajedrez I,Chavez Bastian,"W:6 CLAS S_SPINNING V:5,6 CLAS S_SPINNING",Deportes,2026-1
26177,DPT7005,1,Selección de Ajedrez,Valdes Alvaro,: CLAS S_SPINNING,Deportes,2026-1
26178,DPT7055,1,Selección de Atletismo Mujeres,San Jose Gerardo,: CLAS P-ATLETICA,Deportes,2026-1
26179,DPT7060,1,Selección de Atletismo Hombres,San Jose Gerardo,: CLAS P-ATLETICA,Deportes,2026-1
26180,DPT7160,1,Selección de Básquetbol Muejeres,Luvizetto Juan,: CLAS GIMNASIO A,Deportes,2026-1
26181,DPT7170,1,Selección de Básquetbol Hombres,Sandoval Luis,: CLAS GIMNASIO A,Deportes,2026-1
26182,DPT7260,1,Selección de Fútbol Mujeres,Perez Jorge,: CLAS C-FUTBOL,Deportes,2026-1
26183,DPT7270,1,Selección de Fútbol Hombres,Pellicer Pablo,: CLAS C-FUTBOL,Deportes,2026-1
26186,DPT7355,1,Selección de Balonmano Mujeres,Ortiz Rodrigo,: CLAS GIMNASIO A,Deportes,2026-1
26196,DPT7360,1,Selección de Balonmano Hombres,Valdebenito Francisco,: CLAS GIMNASIO A,Deportes,2026-1
26197,DPT7375,1,Selección de Escalada Deportiva Hombres,Serey Felipe,: CLAS BOULDER,Deportes,2026-1
26199,DPT7380,1,Selección de Escalada Deportiva Mujeres,Serey Felipe,: CLAS BOULDER,Deportes,2026-1
26204,DPT7460,1,Selección de Judo Hombres,Parra Luis,: CLAS DOJO,Deportes,2026-1
26205,DPT7470,1,Selección de Judo Mujeres,Parra Luis,: CLAS DOJO,Deportes,2026-1
26208,DPT7525,1,Seleción de Karate Mujeres,Chirino Ramiro,: CLAS GIMNASIO B,Deportes,2026-1
26209,DPT7535,1,Selección de Karate Hombres,Chirino Ramiro,: CLAS GIMNASIO B,Deportes,2026-1
26212,DPT7665,1,Selección de Gimnasia Artística Mujeres,Cubillos Felipe,: CLAS GIMNASIO B,Deportes,2026-1
26213,DPT7675,1,Selección de Gimnasia Artística Hombres,Cubillos Felipe,: CLAS GIMNASIO B,Deportes,2026-1
26214,DPT7710,1,Selección de Gimansia Rítmica,Torres Karina,: CLAS GIMNASIO B,Deportes,2026-1
26216,DPT7815,1,Selección de Natación Mujeres,Toledo Claudio,: CLAS PISCINA,Deportes,2026-1
26217,DPT7825,1,Selección de Natación Hombres,Toledo Claudio,: CLAS PISCINA,Deportes,2026-1
26219,DPT7875,1,Selección de Tenis Hombres,Miranda Hugo,: CLAS C-TENIS,Deportes,2026-1
26218,DPT7885,1,Selección de Tenis Mujeres,Miranda Hugo,: CLAS C-TENIS,Deportes,2026-1
26221,DPT7915,1,Selección de Tenis de Mesa Mujeres,Sepulveda Manuel,: CLAS GIMNASIO B,Deportes,2026-1
26222,DPT7925,1,Selección de Tenis de Mesa Hombres,Sepulveda Manuel,: CLAS GIMNASIO B,Deportes,2026-1
26223,DPT7955,1,Selección de Vóleibol Hombres,Salinas José,: CLAS GIMNASIO B,Deportes,2026-1
26224,DPT7960,1,Selección de Vóleibol Mujeres,Saez Tamara,: CLAS GIMNASIO B,Deportes,2026-1
26225,DPT8025,1,Selección de Vóleibol Playa Mujeres,Osorio Patricio,: CLAS VB. PLAYA,Deportes,2026-1
26226,DPT8035,1,Selección de Vóleibol Playa Hombres,Osorio Patricio,: CLAS VB. PLAYA,Deportes,2026-1
26227,DPT8065,1,Selección de Rugby Mujeres,Gomez Edmundo,: CLAS C- RUGBY,Deportes,2026-1
